Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Anthony Martial,Left Winger,19,Monaco,Ligue 1,Man Utd,Premier League,2015-2016,8000000,60000000
Arda Turan,Left Winger,28,Atletico Madrid,La Liga,FC Barcelona,La Liga,2015-2016,35000000,34000000
Arturo Vidal,Central Midfield,28,Juventus,Serie A,Bayern Munich ,1.Bundesliga,2015-2016,42000000,37500000
Asamoah Gyan,Centre-Forward,29,Al-Ain FC,UAE Pro-League,SIPG,Chinese Super League,2015-2016,4500000,9000000
Asier Illarramendi,Defensive Midfield,25,Real Madrid,La Liga,Real Sociedad,La Liga,2015-2016,15000000,15000000
Asmir Begovic,Goalkeeper,28,Stoke City,Premier League,Chelsea,Premier League,2015-2016,12000000,11000000
Atinc Nukan,Centre-Back,21,Besiktas,Super Lig,RB Leipzig,2.Bundesliga,2015-2016,2500000,6000000
Aymen Abdennour,Centre-Back,26,Monaco,Ligue 1,Valencia CF,La Liga,2015-2016,10000000,22000000
Bastian Schweinsteiger,Central Midfield,30,Bayern Munich ,1.Bundesliga,Man Utd,Premier League,2015-2016,22000000,9000000
Benik Afobe,Centre-Forward,22,Wolves,English Championship,Bournemouth,Premier League,2015-2016,7000000,13300000
Benjamin Stambouli,Centre-Back,24,Spurs,Premier League,Paris SG,Ligue 1,2015-2016,5000000,8600000
Bernard Mensah,Attacking Midfield,20,Vit. Guimaraes,Liga NOS,Atletico Madrid,La Liga,2015-2016,4000000,6000000
Bradley Johnson,Central Midfield,28,Norwich,Premier League,Derby,English Championship,2015-2016,4000000,8100000
Burak Yilmaz,Centre-Forward,30,Galatasaray,Super Lig,BJ Sinobo Guoan,Chinese Super League,2015-2016,7000000,8000000
Carlos Bacca,Centre-Forward,28,Sevilla FC,La Liga,AC Milan,Serie A,2015-2016,25000000,30000000
Carlos Pena,Central Midfield,25,Leon,Liga MX,Chivas,Liga MX,2015-2016,3000000,7300000
Carlos Tevez,Second Striker,31,Juventus,Serie A,Boca Juniors,Argentine Primera Division,2015-2016,23000000,6500000
Cedric Bakambu,Centre-Forward,24,Bursaspor,Super Lig,Villarreal CF,La Liga,2015-2016,5500000,7500000
Cedric Soares,Right-Back,23,Sporting CP,Liga NOS,Southampton,Premier League,2015-2016,9500000,7000000
Chancel Mbemba,Centre-Back,20,RSC Anderlecht,Jupiler Pro League,Newcastle,Premier League,2015-2016,8000000,12000000
Chao Gu,Goalkeeper,26,ZJ Greentown,Chinese Super League,JS Suning,Chinese Super League,2015-2016,125000,7050000
Charles Aranguiz,Central Midfield,26,Internacional,Campeonato Brasileiro Serie A,Bay. Leverkusen,1.Bundesliga,2015-2016,9500000,13000000
Chicharito,Centre-Forward,27,Man Utd,Premier League,Bay. Leverkusen,1.Bundesliga,2015-2016,10000000,12000000
Christian Benteke,Centre-Forward,24,Aston Villa,Premier League,Liverpool,Premier League,2015-2016,20000000,46500000
Ciro Immobile,Centre-Forward,25,Bor. Dortmund,1.Bundesliga,Sevilla FC,La Liga,2015-2016,10000000,11000000
Claudio Beauvue,Centre-Forward,27,Guingamp,Ligue 1,Olympique Lyon,Ligue 1,2015-2016,5000000,6000000
Clinton N'Jie,Centre-Forward,22,Olympique Lyon,Ligue 1,Spurs,Premier League,2015-2016,5000000,14100000
Connor Wickham,Centre-Forward,22,Sunderland,Premier League,Crystal Palace,Premier League,2015-2016,5000000,10000000
Daniel Amartey,Defensive Midfield,21,FC Copenhagen,Superligaen,Leicester,Premier League,2015-2016,3000000,6600000
Daniele Baselli,Central Midfield,23,Atalanta,Serie A,Torino,Serie A,2015-2016,3800000,6000000
Danilo,Right-Back,23,FC Porto,Liga NOS,Real Madrid,La Liga,2015-2016,25000000,31500000
Danny Ings,Centre-Forward,22,Burnley,English Championship,Liverpool,Premier League,2015-2016,12000000,8300000
David Nugent,Centre-Forward,30,Leicester,Premier League,Middlesbrough,English Championship,2015-2016,2000000,5600000
Davie Selke,Centre-Forward,20,Werder Bremen,1.Bundesliga,RB Leipzig,2.Bundesliga,2015-2016,5000000,8000000
Demba Ba,Centre-Forward,30,Besiktas,Super Lig,SH Shenhua,Chinese Super League,2015-2016,12000000,13000000
Derlis Gonzalez,Left Winger,21,FC Basel,Swiss Super League,Dynamo Kyiv,Premier Liga,2015-2016,3750000,9400000
Dianzuo Liu,Goalkeeper,25,GZ R&F,Chinese Super League,GZ Evergrande,Chinese Super League,2015-2016,200000,6700000
Dimitri Payet,Attacking Midfield,28,Marseille,Ligue 1,West Ham,Premier League,2015-2016,13000000,15000000
Domenico Berardi,Right Winger,20,Juventus,Serie A,Sassuolo,Serie A,2015-2016,17500000,10000000
Douglas Costa,Right Winger,24,Shakhtar D.,Premier Liga,Bayern Munich ,1.Bundesliga,2015-2016,23000000,30000000
Dusan Basta,Right-Back,30,Udinese Calcio,Serie A,Lazio,Serie A,2015-2016,5500000,10500000
Eder,Centre-Forward,27,Braga,Liga NOS,Swansea,Premier League,2015-2016,6000000,6700000
Eduardo Vargas,Centre-Forward,25,SSC Napoli,Serie A,TSG Hoffenheim,1.Bundesliga,2015-2016,6000000,6000000
Elkeson,Centre-Forward,26,GZ Evergrande,Chinese Super League,SIPG,Chinese Super League,2015-2016,4500000,18500000
Ersan Gulum,Centre-Back,28,Besiktas,Super Lig,HB CFFC,Chinese Super League,2015-2016,5000000,7000000
Etienne Capoue,Defensive Midfield,27,Spurs,Premier League,Watford,Premier League,2015-2016,7500000,8900000
Ezequiel Lavezzi,Second Striker,30,Paris SG,Ligue 1,HB CFFC,Chinese Super League,2015-2016,9000000,5500000
Fabian Delph,Central Midfield,25,Aston Villa,Premier League,Man City,Premier League,2015-2016,10000000,11500000
Fabinho,Defensive Midfield,21,Rio Ave FC,Liga NOS,Monaco,Ligue 1,2015-2016,8000000,6000000
Fabio Borini,Left Winger,24,Liverpool,Premier League,Sunderland,Premier League,2015-2016,7000000,10700000
Fernando,Defensive Midfield,23,Shakhtar D.,Premier Liga,Sampdoria,Serie A,2015-2016,9000000,8000000
Filipe Luis,Left-Back,29,Chelsea,Premier League,Atletico Madrid,La Liga,2015-2016,15000000,16000000
Florian Thauvin,Right Winger,22,Marseille,Ligue 1,Newcastle,Premier League,2015-2016,12000000,18350000
Franco Di Santo,Centre-Forward,26,Werder Bremen,1.Bundesliga,FC Schalke 04,1.Bundesliga,2015-2016,8500000,6000000
Fredy Guarin,Central Midfield,29,Inter,Serie A,SH Shenhua,Chinese Super League,2015-2016,10500000,13000000
Gabriel Boschilia,Left Winger,19,Sao Paulo,Campeonato Brasileiro Serie A,Monaco,Ligue 1,2015-2016,3000000,9060000
Gael Kakuta,Left Winger,24,Chelsea,Premier League,Sevilla FC,La Liga,2015-2016,3500000,6000000
Gaston Pereiro,Attacking Midfield,20,Nacional,Argentine Primera Division,PSV Eindhoven,Eredivisie,2015-2016,7000000,7000000
Geoffrey Kondogbia,Central Midfield,22,Monaco,Ligue 1,Inter,Serie A,2015-2016,16000000,36000000
Georginio Wijnaldum,Central Midfield,24,PSV Eindhoven,Eredivisie,Newcastle,Premier League,2015-2016,15000000,20000000
Gerard Deulofeu,Right Winger,21,FC Barcelona,La Liga,Everton,Premier League,2015-2016,6000000,6000000
Gervinho,Left Winger,28,AS Roma,Serie A,HB CFFC,Chinese Super League,2015-2016,15000000,18000000
Geuvanio,Right Winger,23,Santos FC,Campeonato Brasileiro Serie A,TJ Quanjian,Chinese Super League,2015-2016,4500000,11000000
Giannelli Imbula,Defensive Midfield,23,FC Porto,Liga NOS,Stoke City,Premier League,2015-2016,16000000,24250000
Giannelli Imbula,Defensive Midfield,22,Marseille,Ligue 1,FC Porto,Liga NOS,2015-2016,12000000,20000000
Gil,Centre-Back,28,Corinthians,Campeonato Brasileiro Serie A,SD Luneng,Chinese Super League,2015-2016,7500000,8500000
Giovani dos Santos,Second Striker,26,Villarreal CF,La Liga,Los Angeles,MLS,2015-2016,9000000,6350000
Gokhan Inler,Defensive Midfield,31,SSC Napoli,Serie A,Leicester,Premier League,2015-2016,7500000,7000000
Gonzalo Castro,Central Midfield,28,Bay. Leverkusen,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2015-2016,14000000,11000000
Gregoire Defrel,Centre-Forward,24,RC Cesena,Serie B,Sassuolo,Serie A,2015-2016,6000000,7000000
Guido Carrillo,Centre-Forward,24,Estudiantes,Argentine Primera Division,Monaco,Ligue 1,2015-2016,3200000,9000000
Haifeng Ding,Left-Back,24,Liaoning FC,Chinese Super League,HB CFFC,Chinese Super League,2015-2016,225000,7100000
Henri Saivet,Attacking Midfield,25,G. Bordeaux,Ligue 1,Newcastle,Premier League,2015-2016,2500000,6000000
Hernanes,Attacking Midfield,30,Inter,Serie A,Juventus,Serie A,2015-2016,14000000,13000000
Heung-min Son,Left Winger,23,Bay. Leverkusen,1.Bundesliga,Spurs,Premier League,2015-2016,16000000,30000000
Iago Aspas,Right Winger,27,Liverpool,Premier League,Sevilla FC,La Liga,2015-2016,4000000,6000000
Iago Falque,Right Winger,26,Genoa,Serie A,AS Roma,Serie A,2015-2016,8000000,7000000
Idrissa Gueye,Central Midfield,25,LOSC Lille,Ligue 1,Aston Villa,Premier League,2015-2016,7500000,9000000
Ivan Cavaleiro,Right Winger,21,Benfica,Liga NOS,Monaco,Ligue 1,2015-2016,3500000,15000000
Ivan Perisic,Left Winger,26,VfL Wolfsburg,1.Bundesliga,Inter,Serie A,2015-2016,13000000,19000000
Ivelin Popov,Attacking Midfield,27,Kuban Krasnodar,Premier Liga,Spartak Moscow,Premier Liga,2015-2016,9500000,6000000
Jackson Martinez,Centre-Forward,29,Atletico Madrid,La Liga,GZ Evergrande,Chinese Super League,2015-2016,30000000,42000000
Jackson Martinez,Centre-Forward,28,FC Porto,Liga NOS,Atletico Madrid,La Liga,2015-2016,35000000,37100000
James Chester,Centre-Back,26,Hull City,English Championship,West Brom,Premier League,2015-2016,2000000,11300000
Jefferson Farfan,Right Winger,30,FC Schalke 04,1.Bundesliga,Al-Jazira,UAE Pro-League,2015-2016,7000000,7000000
Jeison Murillo,Centre-Back,23,Granada CF,La Liga,Inter,Serie A,2015-2016,8000000,8000000
Jemerson,Centre-Back,23,Atletico-MG,Campeonato Brasileiro Serie A,Monaco,Ligue 1,2015-2016,5000000,11000000
Jeremain Lens,Right Winger,27,Dynamo Kyiv,Premier Liga,Sunderland,Premier League,2015-2016,12000000,11400000
Jesus Corona,Right Winger,22,FC Twente,Eredivisie,FC Porto,Liga NOS,2015-2016,6500000,10500000
Jiawei Yang,Right Winger,24,SH Shenxin,English League One,JS Suning,Chinese Super League,2015-2016,150000,6750000
Jinhao Bi,Centre-Back,25,HN Jianye,Chinese Super League,SH Shenhua,Chinese Super League,2015-2016,250000,9980000
Joao Cancelo,Right-Back,21,Benfica,Liga NOS,Valencia CF,La Liga,2015-2016,5000000,15000000
Johannes Geis,Defensive Midfield,21,1.FSV Mainz 05,1.Bundesliga,FC Schalke 04,1.Bundesliga,2015-2016,11000000,10500000
Jonas Hofmann,Right Winger,23,Bor. Dortmund,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,2015-2016,4000000,8000000
Jonathan Calleri,Centre-Forward,22,Boca Juniors,Argentine Primera Division,Maldonado,Argentine Segunda Division,2015-2016,7500000,11000000
Jonathan Tah,Centre-Back,19,Hamburger SV,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2015-2016,6000000,7500000
Jonathas,Centre-Forward,26,Elche CF,La Liga 2,Real Sociedad,La Liga,2015-2016,6000000,7200000
Jonjo Shelvey,Central Midfield,23,Swansea,Premier League,Newcastle,Premier League,2015-2016,12000000,16000000
Jonny Evans,Centre-Back,27,Man Utd,Premier League,West Brom,Premier League,2015-2016,6000000,8300000
Jordan Amavi,Left-Back,21,OGC Nice,Ligue 1,Aston Villa,Premier League,2015-2016,4000000,11000000
Jordan Ayew,Centre-Forward,23,FC Lorient,Ligue 1,Aston Villa,Premier League,2015-2016,6000000,12000000
Jordan Rhodes,Centre-Forward,26,Blackburn,English Championship,Middlesbrough,English Championship,2015-2016,10000000,11900000
Jordan Veretout,Central Midfield,22,FC Nantes,Ligue 1,Aston Villa,Premier League,2015-2016,8000000,10000000
Jordy Clasie,Defensive Midfield,24,Feyenoord,Eredivisie,Southampton,Premier League,2015-2016,10000000,15000000
Jose Manuel Jurado,Attacking Midfield,29,Spartak Moscow,Premier Liga,Watford,Premier League,2015-2016,7000000,8600000
Jose Salomon Rondon,Centre-Forward,25,Zenit S-Pb,Premier Liga,West Brom,Premier League,2015-2016,15000000,17000000
Josef,Defensive Midfield,26,Sao Paulo,Campeonato Brasileiro Serie A,Fenerbahce,Super Lig,2015-2016,7500000,8000000
Joselu,Centre-Forward,25,Hannover 96,1.Bundesliga,Stoke City,Premier League,2015-2016,6000000,8000000
Joshua Kimmich,Right-Back,20,VfB Stuttgart,1.Bundesliga,Bayern Munich ,1.Bundesliga,2015-2016,5000000,8500000
Josip Drmic,Centre-Forward,22,Bay. Leverkusen,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,2015-2016,8000000,10000000
Jozo Simunovic,Centre-Back,21,Dinamo Zagreb,1.HNL,Celtic,Scottish Football League,2015-2016,2000000,7500000
Juanmi,Right Winger,22,Malaga CF,La Liga,Southampton,Premier League,2015-2016,7000000,7000000
Jucilei,Defensive Midfield,27,Al-Jazira,UAE Pro-League,SD Luneng,Chinese Super League,2015-2016,7000000,7200000
Julian Draxler,Central Midfield,21,FC Schalke 04,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2015-2016,22000000,43000000
Jurgen Damm,Right Winger,22,CF Pachuca,Liga MX,Tigres UANL,Liga MX,2015-2016,1200000,8850000
Ke Sun,Right Winger,26,JS Suning,Chinese Super League,TJ Quanjian,Chinese Super League,2015-2016,825000,9200000
Kenedy,Left Midfield,19,Fluminense,Campeonato Brasileiro Serie A,Chelsea,Premier League,2015-2016,6000000,8000000
Kevin De Bruyne,Attacking Midfield,24,VfL Wolfsburg,1.Bundesliga,Man City,Premier League,2015-2016,45000000,76000000
Kevin Kampl,Central Midfield,24,Bor. Dortmund,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2015-2016,9000000,11000000
Kevin Trapp,Goalkeeper,25,E. Frankfurt,1.Bundesliga,Paris SG,Ligue 1,2015-2016,8000000,9500000
Kevin Wimmer,Centre-Back,22,1. FC Koln,1.Bundesliga,Spurs,Premier League,2015-2016,7500000,6000000
Khamis Esmaeel,Central Midfield,26,Al-Jazira,UAE Pro-League,Al-Ahli (UAE),UAE Pro-League,2015-2016,100000,8700000
Kiko Casilla,Goalkeeper,28,Espanyol,La Liga,Real Madrid,La Liga,2015-2016,7500000,6000000
Kyriakos Papadopoulos,Centre-Back,23,FC Schalke 04,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2015-2016,7500000,6500000
Lamine Kone,Centre-Back,27,FC Lorient,Ligue 1,Sunderland,Premier League,2015-2016,2500000,6500000
Layvin Kurzawa,Left-Back,22,Monaco,Ligue 1,Paris SG,Ligue 1,2015-2016,10000000,25000000
Leandro Paredes,Defensive Midfield,21,Boca Juniors,Argentine Primera Division,AS Roma,Serie A,2015-2016,3500000,6000000
Lewis Grabban,Centre-Forward,28,Norwich,Premier League,Bournemouth,Premier League,2015-2016,3000000,9350000
Lewis Holtby,Attacking Midfield,24,Spurs,Premier League,Hamburger SV,1.Bundesliga,2015-2016,4000000,6500000
Lima,Centre-Forward,32,Benfica,Liga NOS,Al-Ahli (UAE),UAE Pro-League,2015-2016,8000000,7000000
Lu Zhang,Goalkeeper,28,Liaoning FC,Chinese Super League,TJ Quanjian,Chinese Super League,2015-2016,100000,9800000
Lucas Ocampos,Left Winger,20,Monaco,Ligue 1,Marseille,Ligue 1,2015-2016,6500000,7500000
Luciano Vietto,Centre-Forward,21,Villarreal CF,La Liga,Atletico Madrid,La Liga,2015-2016,20000000,20000000
Luis Muriel,Centre-Forward,24,Udinese Calcio,Serie A,Sampdoria,Serie A,2015-2016,10000000,12000000
Luiz Adriano,Centre-Forward,28,Shakhtar D.,Premier Liga,AC Milan,Serie A,2015-2016,8500000,8000000
Luka Jovic,Centre-Forward,18,Red Star,SuperLiga,Benfica B,Ledman Liga Pro,2015-2016,1750000,6600000
Mapou Yanga-Mbiwa,Centre-Back,26,AS Roma,Serie A,Olympique Lyon,Ligue 1,2015-2016,6500000,9400000
Mario Mandzukic,Left Winger,29,Atletico Madrid,La Liga,Juventus,Serie A,2015-2016,20000000,21000000
Mario Suarez,Defensive Midfield,28,Atletico Madrid,La Liga,Fiorentina,Serie A,2015-2016,10000000,15000000
Marko Grujic,Central Midfield,19,Red Star,SuperLiga,Liverpool,Premier League,2015-2016,3000000,7000000
Matej Vydra,Centre-Forward,23,Udinese Calcio,Serie A,Watford,Premier League,2015-2016,5500000,8400000
Mateo Kovacic,Central Midfield,21,Inter,Serie A,Real Madrid,La Liga,2015-2016,22000000,31000000
Mathew Ryan,Goalkeeper,23,Club Brugge,Jupiler Pro League,Valencia CF,La Liga,2015-2016,7000000,7000000
Mathieu Valbuena,Left Winger,30,Dinamo Moscow,Premier Liga,Olympique Lyon,Ligue 1,2015-2016,11500000,6000000
Matias Kranevitter,Defensive Midfield,22,River Plate,Argentine Primera Division,Atletico Madrid,La Liga,2015-2016,7000000,8000000
Matija Nastasic,Centre-Back,22,Man City,Premier League,FC Schalke 04,1.Bundesliga,2015-2016,14000000,9500000
Matteo Darmian,Right-Back,25,Torino,Serie A,Man Utd,Premier League,2015-2016,12000000,18000000
Mattia Destro,Centre-Forward,24,AS Roma,Serie A,Bologna,Serie A,2015-2016,13000000,8500000
Max Gradel,Left Winger,27,Saint-Etienne,Ligue 1,Bournemouth,Premier League,2015-2016,6500000,10000000
Max Kruse,Second Striker,27,Bor. M'gladbach,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2015-2016,12000000,12000000
Memphis Depay,Left Winger,21,PSV Eindhoven,Eredivisie,Man Utd,Premier League,2015-2016,28000000,34000000
Michail Antonio,Right Winger,25,Nottm Forest,English Championship,West Ham,Premier League,2015-2016,2500000,9500000
Mohamed Elneny,Defensive Midfield,23,FC Basel,Swiss Super League,Arsenal,Premier League,2015-2016,4000000,12500000
Morgan Schneiderlin,Defensive Midfield,25,Southampton,Premier League,Man Utd,Premier League,2015-2016,28000000,35000000
Moussa Sow,Centre-Forward,29,Fenerbahce,Super Lig,Al-Ahli (UAE),UAE Pro-League,2015-2016,13000000,16000000
Naif Hazazi,Centre-Forward,26,Shabab,Saudi Professional League,Nasr,Saudi Professional League,2015-2016,1000000,6800000
Nani,Left Winger,28,Man Utd,Premier League,Fenerbahce,Super Lig,2015-2016,15000000,6000000
Nathaniel Clyne,Right-Back,24,Southampton,Premier League,Liverpool,Premier League,2015-2016,17000000,17700000
Nemanja Gudelj,Central Midfield,23,AZ Alkmaar,Eredivisie,AFC Ajax,Eredivisie,2015-2016,6000000,6000000
N'Golo Kante,Defensive Midfield,24,SM Caen,Ligue 1,Leicester,Premier League,2015-2016,4500000,9000000
Nicolas Otamendi,Centre-Back,27,Valencia CF,La Liga,Man City,Premier League,2015-2016,25000000,44600000
Ning Jiang,Left Winger,29,GZ R&F,Chinese Super League,HB CFFC,Chinese Super League,2015-2016,200000,6250000
Nordin Amrabat,Left Winger,28,Malaga CF,La Liga,Watford,Premier League,2015-2016,6000000,8400000
Obbi Oulare,Centre-Forward,19,Club Brugge,Jupiler Pro League,Watford,Premier League,2015-2016,5000000,8230000
Oriol Romeu,Defensive Midfield,23,Chelsea,Premier League,Southampton,Premier League,2015-2016,2500000,7000000
Oumar Niasse,Centre-Forward,25,Loko Moscow,Premier Liga,Everton,Premier League,2015-2016,10000000,17900000
Ozan Tufan,Defensive Midfield,20,Bursaspor,Super Lig,Fenerbahce,Super Lig,2015-2016,7500000,7000000
Patrick Roberts,Right Winger,18,Fulham,English Championship,Man City,Premier League,2015-2016,2500000,7200000
Paulinho,Central Midfield,26,Spurs,Premier League,GZ Evergrande,Chinese Super League,2015-2016,9000000,14000000
Paulo Dybala,Second Striker,21,US Palermo,Serie A,Juventus,Serie A,2015-2016,28000000,40000000
Pedro,Left Winger,28,FC Barcelona,La Liga,Chelsea,Premier League,2015-2016,20000000,27000000
Pedro Obiang,Central Midfield,23,Sampdoria,Serie A,West Ham,Premier League,2015-2016,8000000,6000000
Petr Cech,Goalkeeper,33,Chelsea,Premier League,Arsenal,Premier League,2015-2016,12000000,14000000
Raheem Sterling,Right Winger,20,Liverpool,Premier League,Man City,Premier League,2015-2016,40000000,63700000
Ramires,Central Midfield,28,Chelsea,Premier League,JS Suning,Chinese Super League,2015-2016,25000000,28000000
Ramiro Funes Mori,Centre-Back,24,River Plate,Argentine Primera Division,Everton,Premier League,2015-2016,6000000,12900000
Raul Garcia,Attacking Midfield,29,Atletico Madrid,La Liga,Athletic Bilbao,La Liga,2015-2016,15000000,8000000
Raul Jimenez,Centre-Forward,24,Atletico Madrid,La Liga,Benfica,Liga NOS,2015-2016,5000000,22000000
Renato Augusto,Central Midfield,27,Corinthians,Campeonato Brasileiro Serie A,BJ Sinobo Guoan,Chinese Super League,2015-2016,9000000,8000000
Ricardo Álvarez,Attacking Midfield,27,Inter,Serie A,Sunderland,Premier League,2015-2016,10000000,10500000
Robbie Brady,Left Midfield,23,Hull City,English Championship,Norwich,Premier League,2015-2016,2000000,9900000
Robert Beric,Centre-Forward,24,Rapid Vienna,Austrian Bundesliga,Saint-Etienne,Ligue 1,2015-2016,3000000,7500000
Roberto Firmino,Second Striker,23,TSG Hoffenheim,1.Bundesliga,Liverpool,Premier League,2015-2016,25000000,41000000
Roberto Pereyra,Attacking Midfield,24,Udinese Calcio,Serie A,Juventus,Serie A,2015-2016,17000000,15000000
Roberto Soldado,Centre-Forward,30,Spurs,Premier League,Villarreal CF,La Liga,2015-2016,10000000,16000000
Robin van Persie,Centre-Forward,31,Man Utd,Premier League,Fenerbahce,Super Lig,2015-2016,15000000,6500000
Rodrigo,Centre-Forward,24,Benfica,Liga NOS,Valencia CF,La Liga,2015-2016,18000000,30000000
Rolando Mandragora,Central Midfield,18,Genoa,Serie A,Juventus,Serie A,2015-2016,2000000,8000000
Rony Lopes,Right Winger,19,Man City,Premier League,Monaco,Ligue 1,2015-2016,4500000,12000000
Rudy Gestede,Centre-Forward,26,Blackburn,English Championship,Aston Villa,Premier League,2015-2016,3500000,8500000
Samu Castillejo,Right Winger,20,Malaga CF,La Liga,Villarreal CF,La Liga,2015-2016,7500000,8000000
Samu Garcia,Right Winger,24,Malaga CF,La Liga,Villarreal CF,La Liga,2015-2016,7500000,8000000
Santi Mina,Centre-Forward,19,Celta de Vigo,La Liga,Valencia CF,La Liga,2015-2016,4000000,10000000
Serge Aurier,Right-Back,22,Toulouse,Ligue 1,Paris SG,Ligue 1,2015-2016,10000000,10000000
Sergej Milinkovic-Savic,Central Midfield,20,KRC Genk,Jupiler Pro League,Lazio,Serie A,2015-2016,4000000,18000000
Sergi Darder,Central Midfield,21,Malaga CF,La Liga,Olympique Lyon,Ligue 1,2015-2016,7500000,13100000
Shinji Okazaki,Centre-Forward,29,1.FSV Mainz 05,1.Bundesliga,Leicester,Premier League,2015-2016,8000000,11000000
Sidnei,Centre-Back,25,Benfica,Liga NOS,Dep. La Coruna,La Liga,2015-2016,3000000,6500000
Simon Kjaer,Centre-Back,26,LOSC Lille,Ligue 1,Fenerbahce,Super Lig,2015-2016,8000000,7650000
Simone Zaza,Centre-Forward,24,Sassuolo,Serie A,Juventus,Serie A,2015-2016,11000000,18000000
Stefan Savic,Centre-Back,24,Fiorentina,Serie A,Atletico Madrid,La Liga,2015-2016,15000000,25000000
Stephane Mbia,Defensive Midfield,29,Trabzonspor,Super Lig,HB CFFC,Chinese Super League,2015-2016,6250000,6000000
Steven Berghuis,Right Winger,23,AZ Alkmaar,Eredivisie,Watford,Premier League,2015-2016,3500000,6500000
